Key,french
Fuel Supply Capsule,Capsule d'alimentation en carburant
Green_Herb,Herbe verte
Mixed Green Herb,Mélange d'herbes vertes
Mixed 3 Green Herbs,Mix 3 Herbes Vertes
Mixed Green+Red Herb,Herbe verte + rouge mélangée
Mixed Green+Blue Herb,Herbe verte + bleue mélangée
Mixed 2 Green+Blue Herb,Mélange 2 Herbe Verte + Bleue
Mixed Green+Red+Blue Herb,Mélange d'herbes vertes + rouges + bleues
Red_Herb,Herbe rouge
Blue_Herb,Herbe bleue
FirstAidSpray,Vaporisateur de premiers soins
Super Corn Bread,Super pain de maïs
Super Corn Meal,Super farine de maïs
Snowberry Juice,Jus de Symphorine
foodShamChowder,Chaudrée factice (Courage)
foodGumboStew,Ragoût de gombo (Vitesse de mêlée)
foodShepardsPie,Tarte aux bergers (Force)
foodSpaghetti,Spaghetti (Agilité)
foodTunaFishGravyToast,Toast à la sauce au thon (La vitesse de rechargement)
modArmorBandolierDesc,Rechargez 10 % plus rapidement.\nL'effet ne se cumule pas, mais il peut être installé sur n'importe quelle armure de poitrine ou de jambe.
Athletic Jacket Mod Schematic,Schéma du mod de la veste athlétique
High Permormance Running Soles Schematic,Schéma des semelles de course à haute performance
drinkCanMegaCrushSchematic,Schéma Mega Crush
Military-Grade Duct Tape,Ruban adhésif de qualité militaire
Jewelry Box,Boîte à bijoux
Key to Room 001,Clé de la chambre 001
Key to Room 003,Clé de la chambre 003
Gallery Key,Clé de la galerie
Control Room Key,Clé de la salle de contrôle
Red Gemstone,Pierre précieuse rouge
Locked Jewelry Box,Boîte à bijoux verrouillée
Master Key,La clef maitresse
Sword Door,Porte épée
Sword Iron Door,Porte en fer épée
Armour Door,Porte blindée
Armour Iron Door,Porte en fer blindé
Shield Door,Porte blindée
Helmet Door,Porte casque
Helmet Iron Door,Casque Fer Porte
Emblem Door,Emblème Porte
Wolf and Eagle Door,Porte Loup et Aigle
Door That Sees No Evil,Porte qui ne voit pas le mal
Door That Speaks No Evil,Porte qui ne dit rien de mal
Door That Smells No Evil,Porte qui ne sent pas le mal
Door That Sees Speaks Smells No Evil,La porte qui voit parle ne sent pas le mal
Door Of No Evil,Porte du non mal
Door with an old lock,Porte avec une vieille serrure
Plant Room Door (Insert Herbicide),Porte de la salle des plantes (Insérer l'herbicide)
Insert Wind Crest,Insérer la crête du vent
Insert Moon Crest,Insérer la crête de la lune
Insert Star Crest,Insérer la crête de l'étoile
Insert Sun Crest,Insérer la crête du soleil
Insert Broken Shotgun,Insérer un fusil de chasse cassé
Room 001,Chambre 001
Room 003,Chambre 003
Gallery,Galerie
Control Room,Salle de contrôle
Door (Insert Unprinted Book),Porte (Insérer un livre non imprimé)
Power Area Door,Porte de la zone électrique
Sturdy Door (Insert Metal Object),Porte robuste (Insérer un objet métallique)
Unpowered Door,Porte non alimentée
Sturdy Door (Insert Stone and Metal Object),Porte robuste (Insérer un objet en pierre et en métal)
Master Door,Porte principale
Sturdy Door,Porte robuste
Rusted Sturdy Door,Porte robuste rouillée
Plant 42's Roots,Plantez les racines de 42
Plant 42's Poisoned Roots (Hit to Destroy),Plantez les racines empoisonnées de 42 (Frapper pour détruire)
Mineshaft Hatch Control (Insert Cylinder Shaft),Contrôle de la trappe du puits de mine (Insérer l'arbre du cylindre)
Mineshaft Hatch Control,Contrôle de la trappe du puits de mine
Laboratory Computer,Ordinateur de laboratoire
Unpowered Roller Shutter (Needs refueling),Volet roulant non motorisé (A besoin de faire le plein)
Powered Roller Shutter,Volet roulant motorisé
Box of Sewing Kits (Hit to Pickup),Boîte de kits de couture (Frapper pour ramasser)
Jill's Lunch and Lockpick (Hit to Pickup),Le déjeuner et le crochetage de Jill (Frapper pour ramasser)
AK-47 (Hit to Pickup),AK-47 (Frapper pour ramasser)
Anti-Tyrant Rocket Launcher (Hit to Pickup),Lance-roquettes anti-tyran (Frapper pour ramasser)
Anti-Tyrant Rocket (Hit to Pickup),Fusée anti-tyran (Frapper pour ramasser)
Laboratory Prison Door (Requires 3 MO Discs),Porte de prison de laboratoire (Nécessite 3 disques MO)
Laboratory Prison Door (Requires 2 MO Discs),Porte de prison de laboratoire (Nécessite 2 disques MO)
Laboratory Prison Door (Requires 1 MO Disc),Porte de prison de laboratoire (Nécessite 1 disque MO)
Mansion Wood Door,Porte en bois de manoir
Mansion Iron Door,Porte de fer de manoir
HiPower Leather Trunk,Coffre en cuir HiPower
Special Clothing Leather Trunk,Malle en cuir pour vêtements spéciaux
Pump Shotgun (Hit to Pickup),Fusil à pompe (Frapper pour ramasser)
Magnum Revolver (Hit to Pickup),Revolver Magnum (Frapper pour ramasser)
Rocket Launcher (Hit to Pickup),Lance-roquettes (Frapper pour ramasser)
Handgun Ammo (Hit to Pickup),Munitions pour armes de poing (Frapper pour ramasser)
Shotgun Ammo (Hit to Pickup),Munitions de fusil de chasse (Frapper pour ramasser)
Magnum Ammo (Hit to Pickup),Munitions Magnum (Frapper pour ramasser)
Rocket Ammo (Hit to Pickup),Munitions de fusée (Frapper pour ramasser)
Assault Rifle Ammo (Hit to Pickup),Munitions pour fusil d'assaut (Frapper pour ramasser)
Hand Grenade (Hit to Pickup),Hand Grenade (Frapper pour ramasser)
9mm Bullet,Rond Parabellum 9 × 19 mm
Dismantle 9mm Ammo,Démonter la ronde Parabellum 9 × 19 mm
9mm HP Bullet,Ronde Parabellum HiPower 9 × 19 mm
44Magnum Bullet,Ronde Magnum .357
Dismantle .44 Ammo,Démonter la cartouche .357 Magnum
44Magnum HP Bullet,Ronde HiPower .357 Magnum
762 Bullet,7.62 Carabine Ronde
Dismantle 7.62 Ammo,Démonter la cartouche de fusil 7.62
762 HP Bullet,Carabine ronde HiPower 7.62
Shotgun Shell,Cartouche de fusil de chasse de calibre 12
Dismantle Shotgun Shells,Démonter la cartouche de fusil de chasse de calibre 12
Shotgun Slug,Limace de fusil de chasse
Workbench Repair Kit,Kit de réparation d'établi
Lighter,Briquet

Survival_Knife,Couteau de survie
Knifedesc,"Couteau sur mesure de Jill, idéal pour le combat rapproché et la récolte d'animaux."
S.T.A.R.S_Handgun,S.T.A.R.S Pistolet
Handgundesc,"Un S.T.A.R.S personnalisé Arme de poing standard, tire des obus parabellum 9 × 19 mm."
Magnum Revolver,Revolver Magnum
Magnumdesc,"Un revolver magnum lourd, une arme de poing extrêmement puissante. Il tire des cartouches .357 magnum"
Pump Shotgun,Fusil à pompe
Shotgundesc,Tire des obus de calibre 12. Une arme capable de tirer à grande portée.
AK-47,Fusil d'assaut AK-47
Rifledesc,Un fusil d'assaut automatique qui peut vous aider dans des situations désespérées.
Rocket Launcher,Lance-roquettes
Launcherdesc,"Une arme destructrice, essayez de ne pas vous faire exploser, d'accord!"
Anti-Tyrant Rocket Launcher,Lance-roquettes anti-tyran
apparelToughGuySunglasses,Lunettes de soleil de Wesker
ammo9mmBulletBallRE,Balle Parabellum 9x19mm
ammo9mmBulletHPRE,Balle HiPower 9x19mm Parabellum
ammo44MagnumBulletBallRE,Balle Magnum .357
ammo44MagnumBulletHPRE,Balle HiPower .357 Magnum
ammo762mmBulletBallRE,7.62 Balle de fusil
ammo762mmBulletHPRE,Balle de fusil HiPower 7.62
ammoShotgunShellRE,Cartouche de fusil de chasse de calibre 12
ammoShotgunSlugRE,Limace de fusil de chasse
ammoRocketHERE,Fusée à fragmentation anti-tyran
ammoRocketFragRE,Fusée à fragmentation
thrownGrenadeRE,Hand Grenage
thrownAmmoMolotovCocktailRE,Cocktail Molotov
mineCandyTinRE,Mine de fortune
perkEnforcerDamageDesc,Faites 10% de dégâts supplémentaires avec le Magnum.
perkEnforcerDamageLongDesc,Dégâts : Le Magnum est l'arme de poing la plus puissante au monde. Faites 10% de dégâts supplémentaires avec le Magnum.
perkEnforcerHPAmmoDesc,Vous pouvez fabriquer des munitions HiPower .357 Magnum.
perkEnforcerHPAmmoLongDesc,L'arme de poing la plus puissante du monde est devenue encore plus puissante. Vous pouvez fabriquer des munitions HiPower .357 Magnum.
perkEnforcerCriminalPursuitDesc,Courir avec le Magnum en combat consomme 20 % d'endurance en moins.
perkEnforcerCriminalPursuitLongDesc,Criminal Pursuit : L'adrénaline de la chasse aux scumbags dans le feu de l'action augmente votre endurance. Courir avec le Magnum tiré au combat utilise 20 % d'endurance en moins.

buffPoisonedName,Empoisonné!
buffPoisonedDesc,Vous êtes empoisonné et subissez lentement des dégâts.\n\nUtilisez une crème aux herbes bleues pour soigner votre poison.
buffPoisonedTooltip,Vous avez été empoisonné!
questStartup_offer,Quête
questStartup_desc,"Nous sommes en juillet 1998, vous êtes Jill Valentine, membre de l'équipe Alpha S.T.A.R.S. Votre équipe a été envoyée pour enquêter sur la disparition de vos collègues de l'équipe Bravo après que vous ayez perdu le contact avec eux.\n\nVotre équipe a survolé la zone forestière des montagnes d'Arklay et a découvert un hélicoptère écrasé.\nL'hélicoptère appartient à l'équipe Bravo et à tout le monde est mort. Votre équipe est attaquée par des chiens vicieux et est poursuivie à travers la forêt, vous voyez un manoir au loin et l'appelez à votre équipe et vous faites tous une pause !\n\nVous êtes maintenant piégé à l'intérieur, c'est trop dangereux là-bas!"
BookOfCurses_offer,"Les quatre masques.\n\nUn masque qui ne dit pas le mal...\nUn masque qui ne sent pas le mal...\nUn masque qui ne voit pas le mal...\nUn masque qui ne peut pas parler. sentir. ou voir le mal...\n\nQuand les quatre se mettront en place. le mal se réveillera.\n\n\nVous voyez une clé incrustée au dos. allez-vous l'enlever ?"
DogWhistle_offer,"Aujourd'hui. Sir Spencer m'a dit de cacher quelque chose là où personne ne pourrait le trouver.\n\nEh bien. J'ai eu cette idée. Je me suis dit si je pouvais en quelque sorte le faire protéger par un animal dangereux comme le chien vicieux qui vit ici. personne ne pourrait s'en approcher !\n\nPour autant que je sache. le cabot traîne toujours autour du balcon du deuxième étage du côté ouest de la terrasse. et il devrait accourir au son d'un sifflet de chien.\n\nC'est ici que vous entrez en jeu. La chose est. Je pense que tu es la seule personne qui peut s'approcher de ce satané chien sans risquer de le blesser sérieusement.\n\nCe qui veut dire que toi seul peux lui mettre ce collier. L'objet que Sir Spencer veut cacher est dissimulé à l'intérieur.\n\nVous êtes la seule personne en qui je peux avoir confiance. Bien sûr. vous en tirerez quelque chose aussi. Vous souvenez-vous de cet objet dont vous avez toujours rêvé ?\n\nEh bien. en échange de vos services. Je pourrais juste être en mesure de l'obtenir pour vous. Cela pourrait bien fonctionner pour nous deux...\n\nJon Toleman."
JillLockpick,Avec son ensemble de crochets, Jill est le maître du déverrouillage.
FilesDesc,Vous pouvez lire cette note depuis votre Journal.
modMeleeWeightedHeadDesc,Une modification pour votre couteau.\nAjoute 15 % de chances d'étourdir et de ralentir les victimes.
Samurai Edge Parts,Pièces de bord de samouraï
SamuraiEdgeDesc,Pièces personnalisées spéciales qui augmentent considérablement la cadence de tir et permettent une rafale de 3 coups.\n\nEn général, votre arme de poing est plus facile à manier.
Assault Shotgun Parts,Pièces de fusil d'assaut
AssaultShotgunDesc,Un S.T.A.R.S. arsenal personnalisé et également le favori de Richard.\n\nContient 10 tours. A une propagation plus serrée. Portée plus longue et cadence de tir plus rapide. Mais vitesse de rechargement plus lente.
Magnum Speedloader,Chargeur rapide Magnum
MagnumSpeedloaderDesc,Cela aide à un rechargement 25% plus rapide et, dans l'ensemble, il est plus facile de manier le revolver.
AK-47 Muzzle Brake,Frein de bouche AK-47
MuzzleBreakDesc,Rend le fusil d'assaut plus précis et globalement plus facile à manier.
Athletic Jacket Mod,Veste athlétique Mod
High Permormance Running Soles,Semelles de course à haute performance
modGunMeleeBlessedMetalDesc,Augmente considérablement les dégâts infligés au tyran\n\nCouteau uniquement.
drugBoulderBusters,"Chris Redfield en a secrètement dans son shake protéiné.\n\nAugmente les dégâts de bagarre de 400%.\nPiles avec des broyeurs de crânes et de la bière!"
drugBoulderBustersDesc,"Vos dégâts de bagarre sont augmentés de 400 %.\nPiles avec des broyeurs de crânes et de la bière!"
drugRockBusters,Casseur de rochers!
SuperGogglesDesc,Ces mauvais garçons vous empêcheront de devenir un Jill Sandwich.\n\n\nFortitude +2\nAgilité +2.\nTemps de fabrication -40 %.
Note from Barry,Remarque de Barry
BarryNote,"Jill, je t'ai laissé des fournitures.\n\nBarry"
Jill Sandwich,Jill Sandwich
JillSandwichDesc,Tu étais presque une Jill Sandwich
Watch your step,attention a la marche
PuzzleDesc,Faire face au sud.\n\nCôte à côte est sûr.\n\nLe haut et le bas sont explosifs!
Researcher's Will,Volonté du chercheur
ResearcherWillTip_title,Volonté du chercheur
ResearcherWillTip,"Une lettre est glissée à l'intérieur.\n3 juin 1998\nMa très chère Alma,\n\nPermettez-moi d'abord de m'excuser de ne pouvoir vous appeler. Un homme portant des lunettes de soleil n'autorisait aucun appel téléphonique. Désolé Alma.\n\nJe suis assis ici en essayant de penser par où commencer, comment expliquer en quelques mots simples tout ce qui s'est passé dans ma vie depuis notre dernière conversation, et déjà j'échoue. J'espère que cette lettre te trouvera bien, et que tu pardonneras les tangentes de ma plume ; ce n'est pas facile pour moi.\n\nMême au moment où j'écris, je peux sentir le plus simple des concepts m'échapper, perdu dans des sentiments de désespoir et de confusion - mais je dois vous dire ce que j'ai sur le cœur avant de pouvoir me reposer. Alma, je t'en prie, crois que ce que je te dis est la vérité. Il me faudrait des heures pour raconter toute l'histoire, et le temps est court, alors acceptez ces choses comme des faits : le mois dernier, il y a eu un accident dans le laboratoire et le virus que nous étudiions a fuité.\n\nTous mes collègues qui ont été infectés sont morts ou mourants, et la nature de la maladie est telle que ceux qui sont encore vivants ont perdu la raison. Ce virus prive ses victimes de leur humanité, les forçant dans leur maladie à rechercher et à détruire la vie. Alors même que j'écris ces mots, je peux les entendre, se pressant contre ma porte comme des animaux affamés et stupides.\n\nAlma, j'ai essayé de survivre seulement pour te revoir. Mais mes efforts n'ont fait que retarder l'inévitable ; Je suis infecté, et il n'y a pas de remède à ce qui va suivre - sauf mettre fin à mes jours avant de perdre la seule chose qui me sépare d'eux.\n\nMon amour pour toi.\n\nDans une heure, je serai entré mon sommeil éternel où règne la paix. Essaye de comprendre. Sachez que je suis désolé.\nMartin Crackhorn"
Trevor's Diary,Journal de Trevor
TrevorDiaryTip_title,Journal de Trevor
TrevorDiaryTip,"24 novembre 1967\nOnze jours se sont écoulés depuis son arrivée sur ce domaine. Comment ai-je fini comme ça ? Un gars en blouse de laboratoire est venu avec une assiette de maigre repas et m'a dit : "Désolé de vous faire subir ça, mais c'est pour des raisons de sécurité". C'est alors que ça m'a frappé. Tout s'explique maintenant. Il n'y a que deux personnes qui connaissent le secret de ce manoir, Sir Spencer et moi-même. S'ils me tuent, Sir Spencer sera la seule personne à connaître le secret. Mais dans quel but ? Ça n'a plus d'importance maintenant. C'est trop dangereux ici. Ma famille... J'espère qu'ils vont bien. J'ai décidé de m'échapper... Jessica, Lisa, je prie pour que vous soyez en sécurité.\n\nNov. 26 juillet 1967\nComment ai-je pu être si négligent ? J'ai perdu mon briquet préféré - celui que Jessica m'a offert pour mon anniversaire. Maintenant, il va être beaucoup plus difficile de sortir de cet endroit sombre.\nNov. Le 13, date à laquelle mon sort a été scellé. Ma tante a été hospitalisée seulement trois jours avant cela. Jessica et Lisa ont dit qu'elles allaient lui rendre visite. J'aimerais pouvoir être là avec eux. Mais attendez, alors même que j'écris, ma mémoire me revient plus vivement. Juste avant de m'évanouir, je me souviens que les hommes en blouse de laboratoire ont dit quelque chose comme : "Il est fort probable que votre famille soit déjà..." Je prie pour leur sécurité.\n\nNov. 27 1967\nJ'ai réussi à sortir de cette pièce. Mais sortir de ce manoir ne sera pas aussi facile. Je dois passer outre tous les pièges. Tiger Eyes, Gold Emblem... Je dois essayer de m'en souvenir pour mon propre bien..."
Trevor's Diary2,Journal de Trevor
TrevorDiaryTip2_title,Journal de Trevor
TrevorDiaryTip2,"Il y a quelque chose d'écrit à la main. il n'est pas daté.\n\nRien n'a changé. Je n'aurais jamais pensé que cette pièce que j'ai conçue comme une expérience serait aussi payante.\n\nJe peux me cacher ici en toute sécurité pendant un certain temps, car personne ne connaît le secret de cette peinture. Pas même Sir Spencer.\n\nPeinture d'un manoir... au fond de la salle d'art."
Trevor's Diary3,Journal de Trevor
TrevorDiaryTip3_title,Journal de Trevor
