Key,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
goDifficultyRE,"[FF4F00]Schwierigkeit (Lies mich)[-]"
loadingTipRE4,"Türen sind Ihre Hauptverteidigung, um Zombies zu trennen, um das Kämpfen zu erleichtern. Das Schließen von Türen hält Zombies davon ab, sich hinter dich zu schleichen."
loadingTipRE4_title,"Türen:"
loadingTipRE5,"Sammle unterwegs Knochen und Leder, die du später beim Bau des Gyrocopters brauchst."
loadingTipRE5_title,"Knochen und Leder:"
loadingTipRE6,"Zombies spüren keine Schmerzen, genau wie in Resident Evil, also zucken sie nur zusammen, wenn sie angegriffen werden."
loadingTipRE6_title,"Zombies fühlen keinen Schmerz:"
loadingTipRE7,"Ein großes Dankeschön an die folgenden Personen: AuroraGiggleFairy, w00kie n00kie, RambunctiousRed, HellsJanitorTV, JaxTeller718, KhaineGB, Khelldon, Chikorina, HaidrGna, AvioseVeAvara, Subquake."
loadingTipRE7_title,"Besonderen Dank!"
tutorialTipQuest01,"Sie sind dabei, den Vorfall in der Spencer Mansion aus einer First-Person-Perspektive zu erleben.\n\nBei dieser Herausforderung wird es immer Nacht sein, daher wird empfohlen, dass Sie die Zombie-Geschwindigkeit für die Nacht nach Ihren Wünschen einstellen.\n\nUm die Herausforderung für Resident Evil treu zu halten, beachte bitte Folgendes.\n1) Sie haben einen begrenzten Inventarplatz von 12 Slots. Es gibt Artikelaufbewahrungsboxen, um Ihre Artikel aufzubewahren.\n2) Sie können nicht springen.\n3) Die meisten Feinde empfinden keine Schmerzen, daher wird es anders sein, sie zu bekämpfen, als Sie es gewohnt sind.\n\nFür ein immersives Erlebnis würde ich empfehlen, die Musik so einzustellen, dass sie die ganze Zeit abgespielt wird.\n\nStellen Sie für das beabsichtigte Erlebnis sicher, dass Sie alle nicht verwandten Modlets entfernen und Ihre orangefarbenen Spieleinstellungen korrekt sind."
"buffNewbieCoatNameRE",Unendlich Nahrung und Wasser
buffNewbieCoatDescRE,"Solange du diesen Buff hast, bleiben deine Nahrung und dein Wasser voll.\n\n Sobald du Stufe 10 erreichst, werden deine Nahrung und dein Wasser zu 60 % der Standardrate abgelassen."
xuiInventory,Jill Valentines Inventar
cntCashRegister,Schreibmaschine
cntHardenedChestInsecureT5,Artikel Aufbewahrungsbox
TheVault,The Vault
"Reloading_Tool",Werkzeug zum Nachladen
Reloading_Tooldesc,"Ein nützliches Werkzeug, mit dem du Munition herstellen kannst.\n\nAchte darauf, dass du beim Herstellen genügend leere Inventarplätze hast."
InkRibbon,Farbband
InkRibbondesc,"Derzeit unbrauchbar, wird aber benötigt, um Ihren Fortschritt zu speichern, wenn manuelles Speichern implementiert ist.\n\nBehalten Sie es vorerst bei."
DeathMaskDesc,"Diese Totenmaske wird an der Tür des Bösen verwendet.\n\nBenutze mit der sekundären Aktion."
MansionBattery,"Dadurch wird die Tür im Hof ​​angetrieben."
GreenHerbDesc,"Heilt dich leicht.\n\nArzt 0 heilt 8.\nArzt 1 heilt 10.\nArzt 2 heilt 12.\nArzt 3 heilt 14."
RedHerbdesc,"Verstärkt die Wirkung von Grünen Kräutern.\n\nKann nicht alleine verwendet werden."
GreenHerbCreamDesc,"Heilt dich mäßig.\n\nArzt 0 heilt 20.\nArzt 1 heilt 25.\nArzt 2 heilt 30.\nArzt 3 heilt 35."
Green+RedHerbCreamDesc,"Heilt dich nachhaltig.\n\nArzt 0 heilt 36.\nArzt 1 heilt 45.\nArzt 2 heilt 54.\nArzt 3 heilt 63."
BlueHerbDesc,"Heilt Gift"
Green+BlueHerbCreamDesc,"Heilt dich leicht und heilt Gift.\n\nArzt 0 heilt 12.\nArzt 1 heilt 15.\nArzt 2 heilt 18.\nArzt 3 heilt 21."
Green2+BlueHerbCreamDesc,"Heilt dich mäßig und heilt Gift.\n\nArzt 0 heilt 24.\nArzt 1 heilt 30.\nArzt 2 heilt 36.\nArzt 3 heilt 42."
Green+Red+BlueHerbCreamDesc,"Heilt dich erheblich und heilt Gift.\n\nArzt 0 heilt 40.\nArzt 1 heilt 50.\nArzt 2 heilt 60.\nArzt 3 heilt 70."
FirstAidSprayDesc,"Heilt dich vollständig.\n\nArzt 0 heilt 120.\nArzt 1 heilt 150.\nArzt 2 heilt 180.\nArzt 3 heilt 210."
WolfBook,"Ein blaues Buch über einen Wolf."
WolfMedal,"Eine Wolfsmedaille.\n\nMit der Sekundäraktion verwenden."
EagleBook,"Ein rot gefärbtes Buch über einen Adler."
EagleMedal,"Ein Orden eines Adlers.\n\nMit der sekundären Aktion verwenden."
"Book of Curses",Buch der Flüche
BookOfCursesdesc,"Ein gruselig aussehendes Buch, das Sie im Erdgeschoss im 3. Stock gefunden haben."
"Dog Whistle",Hundepfeife
DogWhistledesc,"Eine Pfeife diente dazu die Aufmerksamkeit von Hunden zu erregen"
"Dog Collar",Hundehalsband
DogCollardesc,"Hat dieses Halsband eine Bedeutung?"
"Coin",Münze
Coindesc,"Eine Münze, die im Halsband eines Hundes gefunden wurde."
Lighterdesc,"Sie werden dies brauchen, um Molotows anzuzünden."
EmptyBottledesc,"Ein Behälter zum Mischen von Chemikalien.\n\nFüllen Sie mit der sekundären Aktion."
FilledBottledesc,"Eine Flasche mit Flüssigkeit gefüllt, mit einer anderen Flüssigkeit mischen."
MixingBottledesc,"Zwei Arten von Flüssigkeiten, die sich miteinander vermischen."
VJoltdesc,"Eine starke Chemikalie, die Pflanze 42 schwächen kann."
Crestdesc,"Ein sechseckiger Kamm.\n\nMit der sekundären Aktion verwenden."
BrokenShotgundesc,"Eine Schrotflinte, die irreparabel beschädigt ist."
Herbicidedesc,"Eine Chemikalie, die verwendet wird, um Pflanzen abzutöten."
MetalObjectdesc,"Ein achteckiges Objekt, das die Tür zum Hof ​​aufschließt.\n\nMit der sekundären Aktion verwenden."
StoneRingdesc,"Ein Ring aus Stein mit achteckiger Form, etwas fehlt in der Mitte."
MetalObject2desc,"Ein achteckiges Objekt aus Metall."
StoneMetalObjectdesc,"Dadurch wird die Tür hinter der Treppe der Haupthalle im Herrenhaus geöffnet.\n\nMit der sekundären Aktion verwenden."
Cylinderdesc,"Sieht so aus, als ob etwas in das Loch gehört."
Shaftdesc,"Sieht aus, als ob eine Art Ring fehlt."
CylinderShaftdesc,"Dies wird den Generator in der Mine mit Strom versorgen.\n\nMit der sekundären Aktion verwenden."
FuelSupplyEmptydesc,"Eine leere Kapsel, die dazu dient, eine Stromquelle zu befeuern.\n\nFüllen Sie es mit etwas Eiskaltem."
FuelSupplydesc,"Betanken Sie damit den Rollladen."
JewelryBoxdesc,"Es ist jetzt freigeschaltet, was ist drin?"
RedGemstonedesc,"Dieser kleine Stein wäre ein Vermögen wert..."
LockedBoxdesc,"Sicher verriegelt, sieht es so aus, als würde etwas Kleines in die Aussparung passen."
PrisonKey,"Eine Diskette mit dem Wort 'MO' darauf.\n\nLegen Sie mit der sekundären Aktion ein."
REkeys,"Verwenden Sie dies. indem Sie die [Interact]-Taste gedrückt halten. während Sie auf eine Tür schauen und [picklock] auswählen."
"Jill's_LockPick",Jills LockPick
"Sword Key",Schwertschlüssel
"Armour Key",Rüstungsschlüssel
"Shield Key",Schildschlüssel
"Helmet Key",Helmschlüssel
"Emblem Key",Emblemschlüssel
"Wolf Book",Wolfsbuch
"Wolf_Medal",Wolfsmedaille
"Eagle Book",Adlerbuch
"Eagle_Medal",Adler-Medaille
"Death Mask Without Eyes",Totenmaske ohne Augen
"Death Mask Without Mouth",Totenmaske ohne Mund
"Death Mask Without Nose",Totenmaske ohne Nase
"Death Mask Without All Three",Totenmaske ohne alle drei
"Laboratory Key",Schlüssel für den Energiebereich
"Prison Key",MO-Disk
"Empty_Bottle",Leere Flasche
"Empty Water Bottle",Leere Wasserflasche
"Empty UMB-No3 Bottle",Leere UMB-No3-Flasche
"Empty Yellow-6 Bottle",Leere Gelb-6-Flasche
"Water_(Filled)",Wasser (gefüllt)
"UMB-No3_(Filled)",UMB-Nr.3 (Gefüllt)
"Yellow-6_(Filled)",Gelb-6 (gefüllt)
"NP-004_(Filled)",NP-004 (gefüllt)
"UMB-No7_(Filled)",UMB-No7 (gefüllt)
"UMB-No10_(Filled)",UMB-No10 (gefüllt)
"VP-017_(Filled)",VP-017 (gefüllt)
"NP-004_(Mixed)",NP-004 (Gemischt)
"UMB-No7_(Mixed)",UMB-No7 (Gemischt)
"UMB-No10_(Mixed)",UMB-No10 (Gemischt)
"VP-014_(Mixed)",VP-017 (Gemischt)
"V-Jolt",V-Ruck
"Wind Crest",Windwappen
"Moon Crest",Mondwappen
"Star Crest",Sternenwappen
"Sun Crest",Sonnenwappen
"Broken Shotgun",Zerbrochene Schrotflinte
"Herbicide",Herbizid
"Metal_Object",Metallobjekt
"Stone_Ring",Steinring
"Metal_Object2",Metallobjekt
"Stone and Metal Object",Stein- und Metallobjekt
"WD-40 Spray",WD-40-Spray
"Unprinted Book",Ungedrucktes Buch
"Battery",Batterie
Spraydesc,""Eine Schmierflüssigkeit, die zum Lösen von Verbindungen metallischer Gegenstände verwendet wird."
"Cylinder",Zylinder
"Shaft",Welle
"Cylinder Shaft",Zylinderwelle
"Fuel Supply Capsule (Empty)",Kraftstoffversorgungskapsel leer
"Fuel Supply Capsule",Kraftstoffversorgungskapsel
"Green Herb",Grünes Kraut
"Mixed Green Herb",Gemischtes grünes Kraut
"Mixed 3 Green Herbs",Gemischte 3 grüne Kräuter
"Mixed Green+Red Herb",Gemischtes Grün+Rotes Kraut
"Mixed Green+Blue Herb",Gemischtes Grün+Blaues Kraut
"Mixed 2 Green+Blue Herb",Gemischte 2 grüne + blaue Kräuter
"Mixed Green+Red+Blue Herb",Gemischtes Grün+Rot+Blaues Kraut
"Red Herb",Rotes Kraut
"Blue Herb",Blaues Kraut
"FirstAidSpray",Erste-Hilfe-Spray
"Super Corn Bread",Super Maisbrot
"Super Corn Meal",Super-Mais-Mahlzeit
"Snowberry Juice",Schneebeersaft
"foodShamChowder",Scheinsuppe (Fortitude)
"foodGumboStew",Gumbo-Eintopf (Nahkampfgeschwindigkeit)
"foodShepardsPie",Shepards Pie (Stärke)
"foodSpaghetti",Spaghetti (Geschicklichkeit)
"foodTunaFishGravyToast",Toast mit Thunfischsauce (Nachladegeschwindigkeit)
modArmorBandolierDesc,"Lade um 10 % schneller nach.\nDer Effekt ist nicht stapelbar, aber er kann in jede Brustpanzerung oder Beinschiene eingebaut werden."
"Athletic Jacket Mod Schematic",Schematische Darstellung des Sportjacken-Mods
"High Permormance Running Soles Schematic",Hochleistungs-Laufsohlen-Schema
"drinkCanMegaCrushSchematic",Mega Crush-Schema
"Military-Grade Duct Tape",Klebeband in Militärqualität
"Jewelry Box",Schmuckkästchen
"Key to Room 001",Schlüssel zu Raum 001
"Key to Room 003",Schlüssel zu Raum 003
"Gallery Key",Galerieschlüssel
"Control Room Key",Kontrollraumschlüssel
"Red Gemstone",Roter Edelstein
"Locked Jewelry Box",Verschlossene Schmuckschatulle
"Master Key",Hauptschlüssel
"Sword Door",Schwerttür
"Sword Iron Door",Schwerteiserne Tür
"Armour Door",Rüstungstür
"Armour Iron Door",Rüstung Eisentür
"Shield Door",Schildtür
"Helmet Door",Helmtür
"Helmet Iron Door",Helm Eisentür
"Emblem Door",Emblem Tür
"Wolf and Eagle Door",Wolfs- und Adlertür
"Door That Sees No Evil",,Tür die kein Böses sieht
"Door That Speaks No Evil",,Tür die kein Böses spricht
"Door That Smells No Evil",,Tür die nach nichts riecht
"Door That Sees Speaks Smells No Evil",Tür die sieht, spricht, riecht nichts Böses
"Door Of No Evil",Tür des Bösen
"Door with an old lock",Tür mit einem alten Schloss
"Plant Room Door (Insert Herbicide)",Technikraumtür (Herbizid einsetzen)
"Insert Wind Crest",Windkamm einfügen
"Insert Moon Crest",Mondwappen einfügen
"Insert Star Crest",Sternwappen einfügen
"Insert Sun Crest",Sonnenkamm einfügen
"Insert Broken Shotgun",Setzen Sie die kaputte Schrotflinte ein
"Room 001",Zimmer 001
"Room 003",Zimmer 003
"Gallery",Galerie
"Control Room",Kontrollraum,
"Door (Insert Unprinted Book)",Tür (ungedrucktes Buch einfügen)
"Power Area Door",Tür zum Energiebereich
"Sturdy Door (Insert Metal Object)",Robuste Tür (Metallobjekt einsetzen)
"Unpowered Door",Nicht angetriebene Tür
"Sturdy Door (Insert Stone and Metal Object)",Robuste Tür (Stein- und Metallobjekt einsetzen)
"Master Door",Meister Tür
"Sturdy Door",Robuste Tür
"Rusted Sturdy Door",Verrostete stabile Tür
"Plant 42's Roots",Pflanzen Sie die Wurzeln von 42
"Plant 42's Poisoned Roots (Hit to Destroy)",Pflanzen Sie die vergifteten Wurzeln von 42 (Zum Zerstören treffen)
"Mineshaft Hatch Control (Insert Cylinder Shaft)",Minenschacht-Lukensteuerung (Zylinderwelle einsetzen)
"Mineshaft Hatch Control",Minenschacht-Lukensteuerung
"Laboratory Computer",Laborcomputer
"Unpowered Roller Shutter (Needs refueling)",Motorloser Rollladen (muss aufgetankt werden)
"Powered Roller Shutter",Angetriebener Rollladen
"Box of Sewing Kits (Hit to Pickup)",Schachtel mit Nähsets (Hit to Pickup)
"Jill's Lunch and Lockpick (Hit to Pickup)",Jills Mittagessen und Lockpick (Hit to Pickup)
"AK-47 (Hit to Pickup)",AK-47 (Hit to Pickup)
"Anti-Tyrant Rocket Launcher (Hit to Pickup)",Anti-Tyrannen-Raketenwerfer (Hit to Pickup)
"Anti-Tyrant Rocket (Hit to Pickup)",Anti-Tyrannen-Rakete (Hit to Pickup)
"Laboratory Prison Door (Requires 3 MO Discs)",Tür des Laborgefängnisses (benötigt 3 MO-Discs)
"Laboratory Prison Door (Requires 2 MO Discs)",Tür des Laborgefängnisses (benötigt 2 MO-Discs)
"Laboratory Prison Door (Requires 1 MO Disc)",Tür des Laborgefängnisses (benötigt 1 MO-Disc)
"Mansion Wood Door",Herrenhaus Holztür
"Mansion Iron Door",Herrenhaus Eisentür
"HiPower Leather Trunk",HiPower-Lederkoffer
"Special Clothing Leather Trunk",Spezielle Kleidung Lederkoffer
"Pump Shotgun (Hit to Pickup)",Pump-Schrotflinte (Treffer zum Aufnehmen),ポンプショットガン(叩いて回収)"
"Magnum Revolver (Hit to Pickup)",Magnum-Revolver (Treffer zum Aufnehmen),マグナムリボルバー(叩いて回収)"
"Rocket Launcher (Hit to Pickup)",Raketenwerfer (Treffer zum Aufnehmen),ロケットランチャー(叩いて回収)"
"Handgun Ammo (Hit to Pickup)",Pistolenmunition (Treffer zum Aufheben),ハンドガンの弾"
"Shotgun Ammo (Hit to Pickup)",Schrotflintenmunition (Treffer zum Aufheben),ショットガンの弾"
"Magnum Ammo (Hit to Pickup)",Magnum-Munition (Treffer zum Aufheben),マグナムの弾"
"Rocket Ammo (Hit to Pickup)",Raketenmunition (Treffer zum Aufheben),ロケット弾(叩いて回収)"
"Assault Rifle Ammo (Hit to Pickup)",Sturmgewehrmunition (Treffer zum Aufheben)
"Hand Grenade (Hit to Pickup)",Handgranate (Treffer zum Aufheben),グレネード(叩いて回収)"
"9mm Bullet",9 × 19 mm Parabellum rund
"Dismantle 9mm Ammo",Demontieren Sie 9 × 19 mm Parabellum Round
"9mm HP Bullet",HiPower 9 × 19 mm Parabellum rund
"44Magnum Bullet",.357 Magnum-Runde
"Dismantle .44 Ammo",Demontieren Sie die .357 Magnum-Runde
"44Magnum HP Bullet",HiPower .357 Magnum Patrone
"762 Bullet",7.62 Gewehrrunde
"Dismantle 7.62 Ammo",Demontieren Sie 7.62 Rifle Round
"762 HP Bullet",HiPower 7.62 Gewehrpatrone
"Shotgun Shell",12-Gauge-Schrotflinte
"Dismantle Shotgun Shells",Demontieren Sie die 12-Gauge-Schrotflintenhülle
"Shotgun Slug",Schrotflinte Slug
"Workbench Repair Kit",Werkbank-Reparatursatz
"Lighter",Feuerzeug



"Survival_Knife",Überlebensmesser
Knifedesc,"Jills maßgefertigtes Messer, ideal für den Nahkampf und das Ernten von Tieren."
"S.T.A.R.S_Handgun",S.T.A.R.S-Pistole
Handgundesc,"Ein benutzerdefiniertes S.T.A.R.S. Standard-Pistole, feuert 9 × 19 mm Parabellum-Patronen ab."
"Magnum Revolver",Magnum-Revolver
Magnumdesc,"Ein schwerer Magnum-Revolver, eine extrem starke Handfeuerwaffe. Es feuert .357 Magnum-Patronen ab"
"Pump Shotgun",Pumpschrotflinte
Shotgundesc,"Feuert 12-Gauge-Granaten ab. Eine Waffe, die in der Lage ist, auf große Entfernung zu feuern."
"AK-47",AK-47 Sturmgewehr
Rifledesc,"Ein automatisches Sturmgewehr, das dir in verzweifelten Situationen helfen kann."
"Rocket Launcher",Raketenwerfer
Launcherdesc,"Eine zerstörerische Waffe, versuche dich nicht in die Luft zu sprengen, okay!"
"Anti-Tyrant Rocket Launcher",Anti-Tyrannen-Raketenwerfer
"apparelToughGuySunglasses",Weskers Sonnenbrille
"ammo9mmBulletBallRE",9x19mm Parabellum-Geschoss
"ammo9mmBulletHPRE",HiPower 9x19mm Parabellum-Geschoss
"ammo44MagnumBulletBallRE",.357 Magnum-Kugel
"ammo44MagnumBulletHPRE",HiPower .357 Magnum-Geschoss
"ammo762mmBulletBallRE",7,62 Gewehrkugel
"ammo762mmBulletHPRE",HiPower 7.62 Büchsengeschoss
"ammoShotgunShellRE",12-Gauge-Schrotflinte
"ammoShotgunSlugRE",Schrotflinte Slug
"ammoRocketHERE",Anti-Tyrannen-Fragmentierungsrakete
"ammoRocketFragRE",Fragmentierungsrakete
"thrownGrenadeRE",Handgranate
"thrownAmmoMolotovCocktailRE",Molotowcocktail
"mineCandyTinRE",Behelfsmine

buffPoisonedName,Vergiftet!
buffPoisonedDesc,Du bist vergiftet und erleidest langsam Schaden.\n\nBenutze eine blaue Kräutercreme, um dein Gift zu heilen.
buffPoisonedTooltip,Sie wurden vergiftet!
questStartup_desc,"Es ist Juli 1998, du bist Jill Valentine, ein Mitglied des S.T.A.R.S Alpha Teams. Ihr Team wurde eingeschickt, um das Verschwinden Ihres Bravo-Teamkollegen zu untersuchen, nachdem Sie den Kontakt zu ihm verloren hatten.\n\nIhr Team flog über das Waldgebiet in den Arklay Mountains und entdeckte einen abgestürzten Helikopter.\nDer Helikopter gehört dem Bravo-Team und allen anderen ist tot. Dein Team wird von bösartigen Hunden angegriffen und durch den Wald gejagt, du siehst ein Herrenhaus in der Ferne und rufst es deinem Team zu und ihr macht alle eine Flucht!\n\nDu bist jetzt drinnen gefangen, es ist zu gefährlich dort draußen!",,,,,,,,,,,,,
BookOfCurses_offer,"Die vier Masken.\n\nEine Maske. die nichts Böses spricht...\nEine Maske. die nichts Böses riecht...\nEine Maske. die nichts Böses sieht...\nEine Maske. die nicht sprechen kann. Geruch. oder das Böse sehen...\n\nWenn alle vier zusammenpassen. das Böse wird erwachen.\n\n\nDu siehst einen auf der Rückseite eingebetteten Schlüssel. wirst du es entfernen?"
DogWhistle_offer,"Heute. Sir Spencer sagte mir. ich solle etwas verstecken. wo niemand es finden kann.\n\nNun. Ich hatte diese Idee. Ich habe mir überlegt. ob ich es irgendwie von einem gefährlichen Tier wie dem bösartigen Hund. der hier lebt. beschützen könnte. Niemand könnte in die Nähe kommen!\n\nSoweit ich das beurteilen kann. der Köter hängt immer um den Balkon im zweiten Stock auf der Westseite der Terrasse herum. und er sollte beim Klang einer Hundepfeife angerannt kommen.\n\nHier kommst du ins Spiel. Die Sache ist die. Ich schätze. du bist die einzige Person. die sich diesem verdammten Hund nähern kann. ohne eine ernsthafte Verletzung zu riskieren.\n\nDas bedeutet. dass nur du ihm dieses Halsband anlegen kannst. Das Objekt. das Sir Spencer versteckt haben will. ist darin verborgen.\n\nDu bist die einzige Person. der ich damit vertrauen kann. Na sicher. du wirst auch was davon haben. Erinnerst du dich an den bestimmten Gegenstand. den du schon immer haben wolltest?\n\nNun. im Austausch für Ihre Dienste. Vielleicht kann ich es dir nur besorgen. Das könnte für uns beide gut klappen...\n\nJon Toleman."
JillLockpick,"Mit ihrem Dietrich-Set ist Jill die Meisterin des Aufschließens."
FilesDesc,"Sie können diese Notiz aus Ihrem Tagebuch lesen."
modMeleeWeightedHeadDesc,""Eine Modifikation für dein Messer.\nFügt eine Chance von 15 % hinzu, Opfer zu betäuben und zu verlangsamen"
"Samurai Edge Parts",Samurai-Randteile
SamuraiEdgeDesc,"Spezielle benutzerdefinierte Teile, die die Feuerrate drastisch erhöhen und eine 3-Schuss-Salve ermöglichen.\n\nInsgesamt ist Ihre Handfeuerwaffe einfacher zu handhaben."
"Assault Shotgun Parts",Teile für Angriffsschrotflinten
AssaultShotgunDesc,Ein S.T.A.R.S. benutzerdefiniertes Arsenal und auch Richards Favorit.\n\nHält 10 Runden. Hat eine engere Streuung. Größere Reichweite und schnellere Feuerrate. Aber langsamere Nachladegeschwindigkeit."
"Magnum Speedloader",Magnum-Speedloader
MagnumSpeedloaderDesc,"Dies trägt zu einem um 25 % schnelleren Nachladen bei und macht es insgesamt einfacher, den Revolver zu führen"
"AK-47 Muzzle Brake",AK-47 Mündungsbremse
MuzzleBreakDesc,"Macht das Sturmgewehr genauer und insgesamt einfacher zu handhaben."
"Athletic Jacket Mod",Sportjacke Mod
"High Permormance Running Soles",Hochleistungs-Laufsohlen
modGunMeleeBlessedMetalDesc,"Erhöht den Schaden an Tyrant\n\nNur Messer stark."
SuperGogglesDesc,"Diese bösen Jungs werden dich davon abhalten, ein Jill Sandwich zu werden.\n\n\nZähigkeit +2\nBeweglichkeit +2.\nHerstellungszeit -40 %."
"Note from Barry",Hinweis von Barry
BarryNote,"Jill, ich habe dir ein paar Vorräte dagelassen.\n\nBarry"
"Jill Sandwich",Jill Sandwich
JillSandwichDesc,"Du warst fast eine Jill Sandwich"
"Watch your step",Pass auf wo du hintrittst
PuzzleDesc,"Nach Süden ausgerichtet.\n\nNebeneinander ist sicher.\n\nAuf und ab ist explosiv!"
"Researcher's Will",Wille des Forschers
ResearcherWillTip_title,Wille des Forschers
ResearcherWillTip,"Ein Brief wird hineingeschoben.\n3. Juni 1998\nMeine liebste Alma,\n\nIch möchte mich zunächst entschuldigen, dass ich Sie nicht anrufen kann. Ein Mann mit Sonnenbrille erlaubte keine Telefongespräche. Tut mir leid, Alma.\n\nIch sitze hier und überlege, wo ich anfangen soll, wie ich mit ein paar einfachen Worten alles erklären kann, was in meinem Leben seit unserem letzten Gespräch passiert ist, und schon vergebe ich. Ich hoffe, dieser Brief findet Sie gut und verzeihen Sie mir die Tangenten meiner Feder; das fällt mir nicht leicht.\n\nSogar während ich schreibe, kann ich fühlen, wie die einfachsten Konzepte entgleiten, verloren in Gefühlen der Verzweiflung und Verwirrung – aber ich muss dir sagen, was in meinem Herzen ist, bevor ich mich ausruhen kann. Alma, bitte glauben Sie, dass das, was ich Ihnen sage, die Wahrheit ist. Ich würde Stunden brauchen, um die ganze Geschichte zu erzählen, und die Zeit ist knapp, also akzeptieren Sie diese Dinge als Tatsache: Letzten Monat gab es einen Unfall im Labor und das Virus, das wir untersuchten, ist durchgesickert.\n\nAlle meine Kollegen, die infiziert waren tot sind oder sterben, und die Natur der Krankheit ist so, dass diejenigen, die noch leben, den Verstand verloren haben. Dieses Virus beraubt seine Opfer ihrer Menschlichkeit und zwingt sie in ihrer Krankheit, Leben zu suchen und zu zerstören. Noch während ich diese Worte schreibe, kann ich sie hören, die wie geistlose, hungrige Tiere gegen meine Tür drücken.\n\nAlma, ich habe versucht zu überleben, nur um dich wiederzusehen. Aber meine Bemühungen verzögerten nur das Unvermeidliche; Ich bin infiziert und es gibt keine Heilung für das, was folgen wird – außer mein Leben zu beenden, bevor ich das Einzige verliere, was mich von ihnen trennt.\n\nMeine Liebe zu dir.\n\nIn einer Stunde werde ich eintreten mein ewiger Schlaf, wo Frieden ist. Bitte verstehe. Bitte beachte, dass es mir leid tut.\nMartin Crackhorn"
"Trevor's Diary",Trevors Tagebuch
TrevorDiaryTip_title,Trevors Tagebuch
