Key,english
Laboratory Key,Key for the Power Area
Prison Key,MO Disk
Empty_Bottle,Empty Bottle
Empty Water Bottle,Empty Water Bottle
Empty UMB-No3 Bottle,Empty UMB-No3 Bottle
Empty Yellow-6 Bottle,Empty Yellow-6 Bottle
Water_(Filled),Water (Filled)
UMB-No3_(Filled),UMB-No3 (Filled)
Yellow-6_(Filled),Yellow-6 (Filled)
NP-004_(Filled),NP-004 (Filled)
UMB-No7_(Filled),UMB-No7 (Filled)
UMB-No10_(Filled),UMB-No10 (Filled)
VP-017_(Filled),VP-017 (Filled)
NP-004_(Mixed),NP-004 (Mixed)
UMB-No7_(Mixed),UMB-No7 (Mixed)
UMB-No10_(Mixed),UMB-No10 (Mixed)
VP-014_(Mixed),VP-017 (Mixed)
V-Jolt,V-Jolt
Wind Crest,Wind Crest
Moon Crest,Moon Crest
Star Crest,Star Crest
Sun Crest,Sun Crest
Broken Shotgun,Broken Shotgun
Herbicide,Herbicide
Metal_Object,Metal Object
Stone_Ring,Stone Ring
Metal_Object2,Metal Object
Stone and Metal Object,Stone and Metal Object
WD-40 Spray,WD-40 Spray
Unprinted Book,Unprinted Book
Battery,Battery
Spraydesc,A lubricating liquid used to loosen joints of metalic objects.
Cylinder,Cylinder
Shaft,Shaft
Cylinder Shaft,Cylinder Shaft
Fuel Supply Capsule (Empty),Fuel Supply Capsule Empty
Fuel Supply Capsule,Fuel Supply Capsule
Green Herb,Green Herb
Mixed Green Herb,Mixed Green Herb
Mixed 3 Green Herbs,Mixed 3 Green Herbs
Mixed Green+Red Herb,Mixed Green+Red Herb
Mixed Green+Blue Herb,Mixed Green+Blue Herb
Mixed 2 Green+Blue Herb,Mixed 2 Green+Blue Herb
Mixed Green+Red+Blue Herb,Mixed Green+Red+Blue Herb
Red Herb,Red Herb
Blue Herb,Blue Herb
FirstAidSpray,First Aid Spray
Super Corn Bread,Super Corn Bread
Super Corn Meal,Super Corn Meal
Snowberry Juice,Snowberry Juice
foodShamChowder,Sham Chowder (Fortitude)
foodGumboStew,Gumbo Stew (Melee Speed)
foodShepardsPie,Shepards Pie (Strength)
foodSpaghetti,Spaghetti (Agility)
foodTunaFishGravyToast,Tuna Fish Gravy Toast (Reload Speed)
modArmorBandolierDesc,Reload 10% faster.\nThe effect does not stack but it can be installed into any chest or leg armor.
Athletic Jacket Mod Schematic,Athletic Jacket Mod Schematic
High Permormance Running Soles Schematic,High Permormance Running Soles Schematic
drinkCanMegaCrushSchematic,Mega Crush Schematic
Military-Grade Duct Tape,Military-Grade Duct Tape
Jewelry Box,Jewelry Box
Key to Room 001,Key to Room 001
Key to Room 003,Key to Room 003
Gallery Key,Gallery Key
Control Room Key,Control Room Key
Red Gemstone,Red Gemstone
Locked Jewelry Box,Locked Jewelry Box
Master Key,Master Key
Sword Door,Sword Door
Sword Iron Door,Sword Iron Door
Armour Door,Armour Door
Armour Iron Door,Armour Iron Door
Shield Door,Shield Door
Helmet Door,Helmet Door
Helmet Iron Door,Helmet Iron Door
Emblem Door,Emblem Door
Wolf and Eagle Door,Wolf and Eagle Door
Laboratory Door,Laboratory Door
Laboratory Iron Door,Laboratory Iron Door
Door That Sees No Evil,Door That Sees No Evil
Door That Speaks No Evil,Door That Speaks No Evil
Door That Smells No Evil,Door That Smells No Evil
Door That Sees Speaks Smells No Evil,Door That Sees Speaks Smells No Evil
Door Of No Evil,Door Of No Evil
Door with an old lock,Door with an old lock
Plant Room Door (Insert Herbicide),Plant Room Door (Insert Herbicide)
Insert Wind Crest,Insert Wind Crest
Insert Moon Crest,Insert Moon Crest
Insert Star Crest,Insert Star Crest
Insert Sun Crest,Insert Sun Crest
Insert Broken Shotgun,Insert Broken Shotgun
Room 001,Room 001
Room 003,Room 003
Gallery,Gallery
Control Room,Control Room
Door (Insert Unprinted Book),Door (Insert Unprinted Book)
Power Area Door,Power Area Door
Sturdy Door (Insert Metal Object),Sturdy Door (Insert Metal Object)
Unpowered Door,Unpowered Door
Sturdy Door (Insert Stone and Metal Object),Sturdy Door (Insert Stone and Metal Object)
Master Door,Master Door
Sturdy Door,Sturdy Door
Rusted Sturdy Door,Rusted Sturdy Door
Plant 42's Roots,Plant 42's Roots
Plant 42's Poisoned Roots (Hit to Destroy),Plant 42's Poisoned Roots (Hit to Destroy)
Mineshaft Hatch Control (Insert Cylinder Shaft),Mineshaft Hatch Control (Insert Cylinder Shaft)
Mineshaft Hatch Control,Mineshaft Hatch Control
Laboratory Computer,Laboratory Computer
Unpowered Roller Shutter (Needs refueling),Unpowered Roller Shutter (Needs refueling)
Powered Roller Shutter,Powered Roller Shutter
Box of Sewing Kits (Hit to Pickup),Box of Sewing Kits (Hit to Pickup)
Jill's Lunch and Lockpick (Hit to Pickup),Jill's Lunch and Lockpick (Hit to Pickup)
AK-47 (Hit to Pickup),AK-47 (Hit to Pickup)
Anti-Tyrant Rocket Launcher (Hit to Pickup),Anti-Tyrant Rocket Launcher (Hit to Pickup)
Anti-Tyrant Rocket (Hit to Pickup),Anti-Tyrant Rocket (Hit to Pickup)
Laboratory Prison Door (Requires 3 MO Discs),Laboratory Prison Door (Requires 3 MO Discs)
Laboratory Prison Door (Requires 2 MO Discs),Laboratory Prison Door (Requires 2 MO Discs)
Laboratory Prison Door (Requires 1 MO Disc),Laboratory Prison Door (Requires 1 MO Disc)
Mansion Wood Door,Mansion Wood Door
Mansion Iron Door,Mansion Iron Door
HiPower Leather Trunk,HiPower Leather Trunk
Special Clothing Leather Trunk,Special Clothing Leather Trunk
Pump Shotgun (Hit to Pickup),Pump Shotgun (Hit to Pickup)
Magnum Revolver (Hit to Pickup),Magnum Revolver (Hit to Pickup)
Rocket Launcher (Hit to Pickup),Rocket Launcher (Hit to Pickup)
Handgun Ammo (Hit to Pickup),Handgun Ammo (Hit to Pickup)
Shotgun Ammo (Hit to Pickup),Shotgun Ammo (Hit to Pickup)
Magnum Ammo (Hit to Pickup),Magnum Ammo (Hit to Pickup)
Rocket Ammo (Hit to Pickup),Rocket Ammo (Hit to Pickup)
Assault Rifle Ammo (Hit to Pickup),Assault Rifle Ammo (Hit to Pickup)
Hand Grenade (Hit to Pickup),Hand Grenade (Hit to Pickup)
9mm Bullet,9×19mm Parabellum Round
Dismantle 9mm Ammo,Dismantle 9×19mm Parabellum Round
9mm HP Bullet,HiPower 9×19mm Parabellum Round
44Magnum Bullet,.357 Magnum Round
Dismantle .44 Ammo,Dismantle .357 Magnum Round
44Magnum HP Bullet,HiPower .357 Magnum Round
762 Bullet,7.62 Rifle Round
Dismantle 7.62 Ammo,Dismantle 7.62 Rifle Round
762 HP Bullet,HiPower 7.62 Rifle Round
Shotgun Shell,12 Gauge Shotgun Shell
Dismantle Shotgun Shells,Dismantle 12 Gauge Shotgun Shell
Shotgun Slug,Shotgun Slug
Workbench Repair Kit,Workbench Repair Kit
Lighter,Lighter

Survival_Knife,Survival Knife
Knifedesc,"Jill's custom made knife, great for close quarter combat and harvesting animals."
S.T.A.R.S_Handgun,S.T.A.R.S Handgun
Handgundesc,"A Custom S.T.A.R.S. Standard Handgun, fires 9×19mm parabellum rounds."
Magnum Revolver,Magnum Revolver
Magnumdesc,"A heavy magnum revolver, an extremely powerful handgun. It fires .357 magnum rounds"
Pump Shotgun,Pump Shotgun
Shotgundesc,Fires 12 Gauge Shells. A weapon that is capable of firing wide-range.
AK-47,AK-47 Assault Rifle
Rifledesc,An automatic assault rifle that can help you in desperate situations.
Rocket Launcher,Rocket Launcher
Launcherdesc,"A destructive weapon, try not to blow yourself up, alright!"
Anti-Tyrant Rocket Launcher,Anti-Tyrant Rocket Launcher
apparelToughGuySunglasses,Wesker's Sunglasses
ammo9mmBulletBallRE,9x19mm Parabellum Bullet
ammo9mmBulletHPRE,HiPower 9x19mm Parabellum Bullet
ammo44MagnumBulletBallRE,.357 Magnum Bullet
ammo44MagnumBulletHPRE,HiPower .357 Magnum Bullet
ammo762mmBulletBallRE,7.62 Rifle Bullet
ammo762mmBulletHPRE,HiPower 7.62 Rifle Bullet
ammoShotgunShellRE,12 Gauge Shotgun Shell
ammoShotgunSlugRE,Shotgun Slug
ammoRocketHERE,Anti-Tyrant Fragmentation Rocket
ammoRocketFragRE,Fragmentation Rocket
thrownGrenadeRE,Hand Grenage
thrownAmmoMolotovCocktailRE,Molotov Cocktail
mineCandyTinRE,Makeshift Mine
perkEnforcerDamageDesc,Do 10% more damage with the Magnum.
perkEnforcerDamageLongDesc,Damage: The Magnum is the most powerful handgun in the world. Do 10% more damage with the Magnum.
perkEnforcerHPAmmoDesc,You can craft HiPower .357 Magnum ammunition.
perkEnforcerHPAmmoLongDesc,The most powerful handgun in the world just got more powerful. You can craft HiPower .357 Magnum ammunition.
perkEnforcerCriminalPursuitDesc,Sprinting with the Magnum in combat uses 20% less stamina.
perkEnforcerCriminalPursuitLongDesc,Criminal Pursuit: The adrenaline from chasing scumbags down in the heat of combat boosts your stamina. Sprinting with the Magnum drawn in combat uses 20% less stamina.

plantedRedHerb1,Red Herb (Seed)
plantedBlueHerb1,Blue Herb (Seed)
plantedRedHerb2,Red Herb (Growing)
plantedBlueHerb2,Blue Herb (Growing)
plantedRedHerb3Harvest,Red Herb
plantedBlueHerb3Harvest,Blue Herb
plantedRedHerb3HarvestPlayer,Red Herb
plantedBlueHerb3HarvestPlayer,Blue Herb
buffPoisonedName,Poisoned!
buffPoisonedDesc,You're poisoned and are slowly taking damage.\n\nUse a Blue Herb Cream to cure your poison.
buffPoisonedTooltip,You've been poisoned!
questStartup_offer,Quest
questStartup_desc,"It's July 1998, you're Jill Valentine, a member of the S.T.A.R.S Alpha Team. Your team was sent in to investigate the disappearance of your fellow Bravo Team after you lost contact with them.\n\nYour team flew over the forest area in the Arklay Mountains and discovered a crashed helicopter.\nThe helicopter belongs to Bravo Team and everyone is dead. Your team is attacked by vicious dogs and are chased through the forest, you see a mansion in the distance and call it out to your team and you all make a break for it!\n\nYou're now trapped inside, it's too dangerous out there!"
BookOfCurses_offer,The four masks.\n\nA mask that speaks no evil...\nA mask that smells no evil...\nA mask that sees no evil...\nA mask that cannot speak. smell. or see evil...\n\nWhen all four fall into place. evil will awaken.\n\n\nYou see a key embedded on the back. will you remove it?
DogWhistle_offer,Today. Sir Spencer told me to hide something where no one could find it.\n\nWell. I had this idea. I figured if I could somehow have it protected by a dangerous animal like the vicious canine that lives here. no one would be able to get near it!\n\nAs far as I can tell. the mutt is always hanging around the second floor balcony on the west side of the terrace. and he ought to come running at the sound of a dog whistle.\n\nThis is where you come in. The thing is. I reckon you're the only person that can get near that damn dog without risking a serious mauling.\n\nWhich means only you can put this collar on him. The object that Sir Spencer wants hidden is concealed inside.\n\nYou're the only person I can trust with this. Of course. you'll get something out of it as well. Remember that certain item that you've always wanted to get hold of?\n\nWell. in exchange for your services. I just might be able to get it for you. This could work out well for both of us...\n\nJon Toleman.
JillLockpick,With her lockpick set Jill is the master of unlocking.
FilesDesc,You can read this note from your Journal.
modMeleeWeightedHeadDesc,A modification for your knife.\nAdds a 15% chance to stun and slow victims.
Samurai Edge Parts,Samurai Edge Parts
SamuraiEdgeDesc,Special custom parts that drastically increases fire rate and allow for a 3-round burst.\n\nOverall makes your handgun easier to wield.
Assault Shotgun Parts,Assault Shotgun Parts
AssaultShotgunDesc,A S.T.A.R.S. custom arsenal and also Richard's favourite.\n\nHolds 10 rounds. Has a tighter spread. Longer range and faster fire rate. But slower reload speed.
Magnum Speedloader,Magnum Speedloader
MagnumSpeedloaderDesc,This assists in a 25% faster reload and overall makes it easier to wield the revolver.
AK-47 Muzzle Brake,AK-47 Muzzle Brake
MuzzleBreakDesc,Makes the assault rifle more accurate and overall easier to wield.
Athletic Jacket Mod,Athletic Jacket Mod
High Permormance Running Soles,High Permormance Running Soles
modGunMeleeBlessedMetalDesc,Greatly increases damage to Tyrant\n\nKnife Only.
SuperGogglesDesc,These bad boys will stop you from becoming a Jill Sandwich.\n\n\nFortitude +2\nAgility +2.\nCrafting time -40%.
Note from Barry,Note from Barry
BarryNote,"Jill, I've left you some supplies.\n\nBarry"
Jill Sandwich,Jill Sandwich
JillSandwichDesc,You were almost a Jill Sandwich
Watch your step,Watch your step
PuzzleDesc,Facing to the south.\n\nSide by side is safe.\n\nUp and down is explosive!
Researcher's Will,Researcher's Will
ResearcherWillTip_title,Researcher's Will
ResearcherWillTip,"A letter is slipped inside.\nJune 3, 1998\nMy dearest Alma,\n\nLet me first apologize for not being able to call you. A man wearing sunglasses didn't permit any phone calls. Sorry Alma.\n\nI sit here trying to think of where to begin, of how to explain in a few simple words all that's happened in my life since we last spoke, and already I fail. I hope this letter finds you well, and that you'll forgive the tangents of my pen; this isn't easy for me.\n\nEven as I write, I can feel the simplest of concepts slipping away, lost to feelings of despair and confusion -- but I have to tell you what's in my heart before I can rest. Alma, please believe that what I'm telling you is the truth. The entire story would take hours for me to tell you, and time is short, so accept these things as fact: last month there was an accident in the lab and the virus we were studying leaked.\n\nAll my colleagues who were infected are dead or dying, and the nature of the disease is such that those still living have lost their senses. This virus robs its victims of their humanity, forcing them in their sickness to seek out and destroy life. Even as I write these words, I can hear them, pressing against my door like mindless, hungry animals.\n\nAlma, I have tried to survive only to see you again. But my efforts only delayed the inevitable; I am infected, and there is no cure for what will follow - except to end my life before I lose the only thing that separates me from them.\n\nMy love for you.\n\nIn an hour I'll have entered my eternal sleep where there is peace. Please understand. Please know that I'm sorry.\nMartin Crackhorn"
Trevor's Diary,Trevor's Diary
TrevorDiaryTip_title,Trevor's Diary
TrevorDiaryTip,"Nov. 24, 1967\nEleven days have past since arriving on this estate. How did I end up like this? A guy in a lab coat came with a plate of skimpy meal and said to me, 'Sorry to put you through this but it's for security reasons.' That's when it hit me. It all makes sense now. There are only two people that know the secret of this mansion, Sir Spencer and myself. If they kill me, Sir Spencer will be the only person that knows the secret. But for what purpose? It doesn't matter now. It's too dangerous here. My family... I hope they are all right. I've decided to escape... Jessica, Lisa, I pray you are safe.\n\nNov. 26, 1967\nHow could I be so careless? I lost my favorite lighter - the one Jessica gave me for my birthday. Now it's going to be that much harder to get out this dark place.\nNov. 13th, the date when my fate was sealed. My aunt was hospitalized just three days before that. Jessica and Lisa said that they were going to visit her. I wish I could be there with them. But wait, even as I'm writing my memory is coming back to me more vividly. Just before I passed out, I remember the men in the lab coats said something like, 'Most likely your family is already...' I pray for their safety.\n\nNov. 27, 1967\nSomehow I managed to get out that room. But getting out of this mansion won't be as easy. I have to get past all the booby-traps. Tiger Eyes, Gold Emblem... I have to try and remember for my own sake...."
Trevor's Diary2,Trevor's Diary
TrevorDiaryTip2_title,Trevor's Diary
TrevorDiaryTip2,"There's something handwritten. it's not dated.\n\nNothing's changed. I never thought that this room I designed as an experiment would pay off like this.\n\nI can hide here safely for a while, because nobody knows about the secret behind this painting. Not even Sir Spencer.\n\nPainting of a mansion... in the back of the art room."
Trevor's Diary3,Trevor's Diary
TrevorDiaryTip3_title,Trevor's Diary
TrevorDiaryTip3,"Nov. 29, 1967\nI can't get out. I have tried every possible way to escape but only to be faced with the reality that I'm trapped. I've been everywhere. The laboratory with the large glass tubes filled with formaldehyde and those dark, wet and eerie caves... What can I do?\nAt first I didn't want to believe my eyes. But that familiar high-heeled shoe in the corridor... It was like reflex. One name came to my mind, Jessica!\nI don't want to believe they share the same fate as me. No! I can't give up hope. I have to hope they're alive.\n\nNov. 30, 1967\nI haven't had anything to eat or drink for the past few days. I feel like I'm going crazy. Why is this happening to me? Why do I have to die like this? I was too obsessed with designing this ghastly mansion. I should have known better.\n\nNov. 31, 1967\nIt was a dark and damp underground tunnel. And another dead end. But even in the darkness something caught my eye. Carefully, I lit the last match, I had to see what it was. A grave! But deeply engraved into the stone was my name! 'George Trevor'. At that instant, it all became clear to me. Those bastards knew from the beginning that I'd die here and I fell right into their trap. But it's too late now. I'm losing it. Everything is becoming so far away. Jessica... Lisa... Forgive me. Because of my ego, I got both of you involved in this whole damn conspiracy. Forgive me. May God justify my death in exchange for your safety.\n\nGeorge Trevor"
Botany Book,Botany Book
BotanyBookTip_title,Botany Book
BotanyBookTip,"Uses of Medicinal Herbs\n\nIt is a well-known fact that there exist many plants that are credited with medicinal healing powers. Since ancient times, mankind has been healing wounds and diseases using various plants.\n\nIn this book, we will sample three herbs that are native of the Arklay Mountains and briefly outline each of their medicinal qualities. Each herb has a distinct color and a distinct medicinal quality.\n\nThe green herb recovers physical strength. The blue herb neutralizes natural toxins. However, the red herb has no real effect by itself. We have found that mixing green and red herbs results in a magnified effect.\n\nWe will outline the effects of red herbs when mixed with other herbs when we have more data. Meanwhile feel free to experiment on your own, for true knowledge is best acquired through own experience."
Keeper's Diary,Keeper's Diary
KeeperDiaryTip_title,Keeper's Diary
KeeperDiaryTip,"May 9, 1998\nPlayed poker tonight with Scott and Alias from Security, and Steve from Research. Steve was the big winner, but I think he was cheating. Scumbag.\n\nMay 10, 1998\nOne of the higher-ups assigned me to take care of a new creature. It looks like a skinned gorilla. Feeding instructions were to give it live animals. When I threw in a pig, the creature seemed to play with it... tearing off the pig's legs and pulling out the guts before it actually started eating.\n\nMay 11, 1998\nAt around 5 A.M., Scott woke me up. Scared the shit out me, too. He was wearing a protective suit. He handed me another one and told me to put it on. Said there'd been an accident in the basement lab. I just knew something like this would happen. Those bastards in Research never sleep, even on holiday\n\nMay 12, 1998\nI've been wearing the damn space suit since yesterday. My skin's getting grimy and feels itchy all over. The goddamn dogs have been looking at me funny, so I decided not to feed them today. Screw 'em.\n\nMay 13, 1998\nWent to the Infirmary because my back is all swollen and feels itchy. They put a big bandage on it and told me I didn't need to wear the suit anymore. All I wanna do is sleep.\n\nMay 14, 1998\nFound another big blister on my foot this morning. I ended up dragging my foot all the way to the dog's pen. They were quiet all day, which is weird. Then I realized some of them had escaped. Maybe this is their way of getting back at me for not feeding them the last three days. If anybody finds out, I'll have my head handed to me.\n\nMay 16, 1998\nRumors going around that a researcher who tried to escape the estate last night was shot. My entire body feels hot and itchy and I'm sweating all the time now. I scratched the swelling on my arm and a piece of rotten flesh just dropped off. What the hell's happening to me?\n\nMay 19, 1998\nFever gone but itchy. Today hungry and eat doggie food.\n\nMay 21, 1998\n Itchy itchy Scott came ugly face so killed him. Tasty. 4 / / Itchy. Tasty."
Mail to the Chief of Security,Mail to the Chief of Security
MailToTheChiefOfSecurityTip_title,Mail to the Chief of Security
MailToTheChiefOfSecurityTip,"CONFIDENTIAL\n\nAttn: Chief of Security\n\nDate: July 22, 1998 2:13\n\nX Day is drawing upon us. Execute the following procedures within one week. Prompt actions are demanded.\n\nLure S.T.A.R.S. to the estate, and obtain B.O.W.'s raw combat data against S.T.A.R.S.\n\nCollect two embryos of each mutated specimens as samples, excluding the Tyrant. Dispose of the Tyrant.\n\nEnsure complete disposal of the Arklay Laboratory including all personnel and test animals. Disguise their deaths as an accident.
When the above procedures are executed, report to headquarters for further instructions.\n\nIf for some reason you are unable to execute the procedure by the deadline, report immediately. In case of emergency situations, report directly to the extension number 5691.\n\nGood luck.\nUmbrella Headquarters,\nUmbrella Inc."
Researcher's Letter,Researcher's Letter
ResearcherLetterTip_title,Researcher's Letter
ResearcherLetterTip,"June 8th 1998\nMy dearest Ada.\n\nBy the time you read this letter, I will no longer be the person you once knew. The results of my test came out today, and as I suspected, it came out positive.\n\nI feel like I am teetering on the edge of reason just thinking about my impending doom. I would give anything not to have to become one of them.\n\nAs far as I know, you are not infected. I sincerely hope things do not reach such a desperate pass, but if it has turned out that you are now the last person remaining alive, I want you to get the material from the Visual Data Room.\n\nThen, activate the Self-Destruct System in the Power Room, and escape from here. Please do everything in your power to make this whole accident public.\n\nIf everything is still running normally, you should be able to release all the locks using the Security System.\n\nI have set up the terminal in the small security room so that you can log in to the system using my name and your name as the password.\n\nYou will need another password to release the lock of the door in Basement Level Two where the Visual Data Room is located.\n\nAs a safety measure I have coded that password into an X-ray picture; a roentgenogram. I know you, and I'm sure you will be able to work it out without any trouble.\n\nThere is just one more thing... and it is my last request. I hope you never have to lay eyes on me in this state, but if you do happen to run into me in my hideous form, I beg you to put me out of my misery. I hope you understand.\n\nThank you, Ada.\nYours truly,\nJohn"
Observation Note,Observation Note
ObservationNoteTip_title,Observation Note
