Key,italian
NP-004_(Filled),NP-004 (riempito)
UMB-No7_(Filled),UMB-No7 (riempito)
UMB-No10_(Filled),UMB-No10 (riempito)
VP-017_(Filled),VP-017 (riempito)
NP-004_(Mixed),NP-004 (Misto)
UMB-No7_(Mixed),UMB-No7 (Misto)
UMB-No10_(Mixed),UMB-No10 (Misto)
VP-014_(Mixed),VP-017 (Misto)
V-Jolt,V-Jolt
Wind Crest,Cresta del vento
Moon Crest,Cresta lunare
Star Crest,Stemma stellare
Sun Crest,Cresta del sole
Broken Shotgun,Fucile rotto
Herbicide,Erbicida
Metal_Object,Oggetto di metallo
Stone_Ring,Anello di pietra
Metal_Object2,Oggetto di metallo
Stone and Metal Object,Oggetto in pietra e metallo
WD-40 Spray,Spray WD-40
Unprinted Book,Libro non stampato
Battery,Batteria
Spraydesc,Un liquido lubrificante utilizzato per allentare le giunture di oggetti metallici.
Cylinder,Cilindro
Shaft,Lancia
Cylinder Shaft,Albero del cilindro
Fuel Supply Capsule (Empty),Capsula di alimentazione del carburante vuota
Fuel Supply Capsule,Capsula di alimentazione del carburante
Green Herb,Erba Verde
Mixed Green Herb,Erbe verdi miste
Mixed 3 Green Herbs,Misto 3 erbe verdi
Mixed Green+Red Herb,Erba mista verde+rossa
Mixed Green+Blue Herb,Erba mista verde + blu
Mixed 2 Green+Blue Herb,Misto 2 erbe verdi + blu
Mixed Green+Red+Blue Herb,Erba mista verde + rossa + blu
Red Herb,Erba Rossa
Blue Herb,Erba blu
FirstAidSpray,Spray di pronto soccorso
Super Corn Bread,Super Pane Di Mais
Super Corn Meal,Super farina di mais
Snowberry Juice,Succo di bacca di neve
foodShamChowder,Sham Chowder (Fortezza)
foodGumboStew,Stufato di gomma (velocità di mischia)
foodShepardsPie,Torta di pastori (forza)
foodSpaghetti,Spaghetti (Agilità)
foodTunaFishGravyToast,Toast al sugo di tonno (velocità di ricarica)
modArmorBandolierDesc,Ricarica il 10% più velocemente.\nL'effetto non si accumula ma può essere installato in qualsiasi pettorale o armatura per le gambe.
Athletic Jacket Mod Schematic,Schema del Mod Giacca Atletica
High Permormance Running Soles Schematic,Schema delle suole da corsa ad alta prestazione
drinkCanMegaCrushSchematic,Schema Mega Crush
Military-Grade Duct Tape,Nastro adesivo di livello militare
Jewelry Box,Scatola di gioielli
Key to Room 001,Chiave della stanza 001
Key to Room 003,Chiave della stanza 003
Gallery Key,Chiave Galleria
Control Room Key,Chiave della sala di controllo
Red Gemstone,Pietra preziosa rossa
Locked Jewelry Box,Portagioie chiuso a chiave
Master Key,Chiave maestra
Sword Door,Porta della spada
Sword Iron Door,Porta di ferro della spada
Armour Door,Porta blindata
Armour Iron Door,Porta di ferro dell'armatura
Shield Door,Porta Scudo
Helmet Door,Porta del casco
Helmet Iron Door,Porta di ferro del casco
Emblem Door,Porta dell'emblema
Wolf and Eagle Door,Porta del lupo e dell'aquila
Door That Sees No Evil,Porta che non vede il male
Door That Speaks No Evil,Porta che non parla male
Door That Smells No Evil,Porta che non odora di male
Door That Sees Speaks Smells No Evil,La porta che vede parla non odora di male
Door Of No Evil,Porta di nessun male
Door with an old lock,Porta con una vecchia serratura
Plant Room Door (Insert Herbicide),Porta della stanza delle piante (inserire erbicida)
Insert Wind Crest,Inserisci lo stemma del vento
Insert Moon Crest,Inserisci lo stemma lunare
Insert Star Crest,Inserisci lo stemma stellare
Insert Sun Crest,Inserisci la cresta del sole
Insert Broken Shotgun,Inserisci il fucile rotto
Room 001,Stanza 001
Room 003,Stanza 003
Gallery,Galleria
Control Room,Sala di controllo
Door (Insert Unprinted Book),Sportello (inserire libro non stampato)
Power Area Door,Porta della zona di alimentazione
Sturdy Door (Insert Metal Object),Porta robusta (inserire un oggetto in metallo)
Unpowered Door,Porta non alimentata
Sturdy Door (Insert Stone and Metal Object),Porta Robusta (Inserire Pietra e Oggetto Metallico)
Master Door,Porta Maestra
Sturdy Door,Porta robusta
Rusted Sturdy Door,Porta robusta arrugginita
Plant 42's Roots,Pianta le radici di 42
Plant 42's Poisoned Roots,Radici avvelenate di Plant 42
Mineshaft Hatch Control (Insert Cylinder Shaft),Controllo del portello dell'albero della miniera (inserire l'albero del cilindro)
Mineshaft Hatch Control,Controllo del portello dell'albero della miniera
Laboratory Computer,Computer da laboratorio
Unpowered Roller Shutter (Needs refueling),Tapparella non alimentata (necessita di rifornimento)
Powered Roller Shutter,Tapparella motorizzata
Box of Sewing Kits (Hit to Pickup),Scatola di kit da cucito (Premi su Ritiro)
Jill's Lunch and Lockpick (Hit to Pickup),Il pranzo e il grimaldello di Jill (Premi su Ritiro)
AK-47 (Hit to Pickup),AK-47 (Premi su Ritiro)
Anti-Tyrant Rocket Launcher (Hit to Pickup),Lanciarazzi anti-tiranno (Premi su Ritiro)
Anti-Tyrant Rocket (Hit to Pickup),Razzo anti-tiranno (Premi su Ritiro)
Laboratory Prison Door (Requires 3 MO Discs),Porta della prigione del laboratorio (Richiede 3 dischi MO)
Laboratory Prison Door (Requires 2 MO Discs),Porta della prigione del laboratorio (Richiede 2 dischi MO)
Laboratory Prison Door (Requires 1 MO Disc),Porta della prigione del laboratorio (Richiede 1 disco MO)
Mansion Wood Door,Porta in legno del palazzo
Mansion Iron Door,Porta di ferro del palazzo
HiPower Leather Trunk,Baule in pelle HiPower
Special Clothing Leather Trunk,Special Clothing Leather Trunk
Pump Shotgun (Hit to Pickup),Fucile a pompa (Premi su Ritiro)
Magnum Revolver (Hit to Pickup),Revolver Magnum (Premi su Ritiro)
Rocket Launcher (Hit to Pickup),Lanciarazzi (Premi su Ritiro)
Handgun Ammo (Hit to Pickup),Munizioni per pistola (Premi su Ritiro)
Shotgun Ammo (Hit to Pickup),Munizioni per fucili (Premi su Ritiro)
Magnum Ammo (Hit to Pickup),munizioni Magnum (Premi su Ritiro)
Rocket Ammo (Hit to Pickup),Munizioni a razzo (Premi su Ritiro)
Assault Rifle Ammo (Hit to Pickup),Munizioni per fucili d'assalto (Premi su Ritiro)
Hand Grenade (Hit to Pickup),Bomba a mano (Premi su Ritiro)
9mm Bullet,Parabellum rotondo 9 × 19 mm
Dismantle 9mm Ammo,Smontare il parabellum rotondo 9 × 19 mm
9mm HP Bullet,HiPower 9 × 19 mm Parabellum tondo
44Magnum Bullet,.357 Magnum tondo
Dismantle .44 Ammo,Smontare .357 Magnum Round
44Magnum HP Bullet,HiPower .357 Magnum rotondo
762 Bullet,7.62 Colpo di fucile
Dismantle 7.62 Ammo,Smontare 7.62 Fucile Round
762 HP Bullet,Carabina HiPower 7.62
Shotgun Shell,Fucile calibro 12
Dismantle Shotgun Shells,Smontare il guscio del fucile calibro 12
Shotgun Slug,pallottola di fucile
Workbench Repair Kit,Kit di riparazione per banco da lavoro
Lighter,Accendino

Survival_Knife,Coltello di sopravvivenza
Knifedesc,"Coltello su misura di Jill, ottimo per il combattimento ravvicinato e la raccolta di animali."
S.T.A.R.S_Handgun,Pistola S.T.A.R.S
Handgundesc,"Uno S.T.A.R.S. Pistola standard, spara proiettili parabellum da 9 × 19 mm."
Magnum Revolver,Revolver Magnum
Magnumdesc,"Un pesante revolver Magnum, una pistola estremamente potente. Spara .357 colpi magnum"
Pump Shotgun,Fucile a pompa
Shotgundesc,Spara proiettili calibro 12. Un'arma in grado di sparare a largo raggio.
AK-47,Fucile d'assalto AK-47
Rifledesc,Un fucile d'assalto automatico che può aiutarti in situazioni disperate.
Rocket Launcher,Lanciarazzi
Launcherdesc,"Un'arma distruttiva, cerca di non farti esplodere, va bene!"
Anti-Tyrant Rocket Launcher,Lanciarazzi anti-tiranno
apparelToughGuySunglasses,Occhiali da sole di Wesker
ammo9mmBulletBallRE,Proiettile Parabellum 9x19mm
ammo9mmBulletHPRE,Proiettile Parabellum HiPower 9x19mm
ammo44MagnumBulletBallRE,.357 proiettile Magnum
ammo44MagnumBulletHPRE,Proiettile HiPower .357 Magnum
ammo762mmBulletBallRE,7.62 Proiettile di fucile
ammo762mmBulletHPRE,Proiettile per fucile HiPower 7.62
ammoShotgunShellRE,Fucile calibro 12
ammoShotgunSlugRE,pallottola di fucile
ammoRocketHERE,Razzo a frammentazione anti-tiranno
ammoRocketFragRE,Razzo a frammentazione
thrownGrenadeRE,Bomba a mano
thrownAmmoMolotovCocktailRE,Molotov Cocktail
mineCandyTinRE,Miniera improvvisata

buffPoisonedName,Avvelenata!
buffPoisonedDesc,Sei avvelenato e stai lentamente subendo danni.\n\nUsa una crema alle erbe blu per curare il tuo veleno.
buffPoisonedTooltip,Sei stato avvelenato!
questStartup_offer,Ricerca
questStartup_desc,"È luglio 1998, sei Jill Valentine, un membro dello S.T.A.R.S Alpha Team. La tua squadra è stata inviata per indagare sulla scomparsa del tuo compagno Bravo Team dopo che hai perso i contatti con loro.\n\nLa tua squadra ha sorvolato l'area forestale delle montagne Arklay e ha scoperto un elicottero precipitato.\nL'elicottero appartiene al Bravo Team e a tutti è morto. La tua squadra viene attaccata da cani feroci e inseguita attraverso la foresta, vedi una villa in lontananza e la chiami alla tua squadra e tutti voi fate una fuga per questo!\n\nOra siete intrappolati dentro, è troppo pericoloso là fuori!"
BookOfCurses_offer,"Le quattro maschere.\n\nUna maschera che non parla del male...\nUna maschera che non odora di male...\nUna maschera che non vede il male...\nUna maschera che non può parlare. odore. o vedere il male...\n\nQuando tutti e quattro saranno al loro posto. il male si risveglierà.\n\n\nVedi una chiave incastonata sul retro. lo rimuoverai?"
DogWhistle_offer,"In data odierna. Sir Spencer mi ha detto di nascondere qualcosa dove nessuno poteva trovarlo.\n\nBeh. Ho avuto questa idea. Ho pensato che se potessi in qualche modo averlo protetto da un animale pericoloso come il cane feroce che vive qui. nessuno sarebbe in grado di avvicinarsi!\n\nPer quanto ne so. il bastardino è sempre appeso al balcone del secondo piano sul lato ovest della terrazza. e dovrebbe venire di corsa al suono del fischio di un cane.\n\nÈ qui che entri tu. Il fatto è. Penso che tu sia l'unica persona in grado di avvicinarsi a quel dannato cane senza rischiare un serio maltrattamento.\n\nIl che significa che solo tu puoi mettergli questo collare. L'oggetto che Sir Spencer vuole nascosto è nascosto all'interno.\n\nSei l'unica persona di cui mi posso fidare per questo. Certo. anche tu ne trarrai qualcosa. Ricordi quel determinato oggetto di cui hai sempre voluto entrare in possesso?\n\nBene. in cambio dei tuoi servizi. Potrei essere in grado di prenderlo per te. Questo potrebbe funzionare bene per entrambi...\n\nJon Toleman."
JillLockpick,"Con il suo set di grimaldelli, Jill è la maestra dello sblocco."
FilesDesc,Puoi leggere questa nota dal tuo diario.
modMeleeWeightedHeadDesc,Una modifica per il tuo coltello.\nAggiunge una probabilità del 15% di stordire e rallentare le vittime.
Samurai Edge Parts,Parti del bordo del samurai
SamuraiEdgeDesc,Parti speciali personalizzate che aumentano drasticamente la velocità di fuoco e consentono una raffica di 3 colpi.\n\nNel complesso rende la tua pistola più facile da maneggiare.
Assault Shotgun Parts,Parti del fucile d'assalto
AssaultShotgunDesc,"UNA S.T.A.R.S. arsenale personalizzato e anche il preferito di Richard.\n\nContiene 10 round. Ha una diffusione più stretta. Raggio più lungo e velocità di fuoco più rapida. Ma velocità di ricarica più lenta."
Magnum Speedloader,Caricatore di velocità Magnum
MagnumSpeedloaderDesc,"Questo aiuta in una ricarica più veloce del 25% e nel complesso rende più facile maneggiare il revolver."
AK-47 Muzzle Brake,AK-47 Freno di bocca
MuzzleBreakDesc,"Rende il fucile d'assalto più preciso e nel complesso più facile da maneggiare."
Athletic Jacket Mod,Giacca Atletica Mod
High Permormance Running Soles,Suole da corsa ad alta performance
modGunMeleeBlessedMetalDesc,Aumenta notevolmente i danni a Tyrant\n\nSolo coltello.
drugBoulderBusters,"Chris Redfield li ha segretamente nel suo frullato proteico.\n\nAumenta i danni da rissa del 400%.\nPile con frantoi a teschio e birra!"
drugBoulderBustersDesc,"Il tuo danno da rissa è aumentato del 400%.\nPile con frantoi a teschio e birra!"
drugRockBusters,Boulder Buster!
SuperGogglesDesc,Questi ragazzacci ti impediranno di diventare un Jill Sandwich.\n\n\nFortitudine +2\nAgilità +2.\nTempo di creazione -40%.
Note from Barry,Nota di Barry
BarryNote,"Jill, ti ho lasciato delle provviste.\n\nBarry"
Jill Sandwich,Panino Jill
JillSandwichDesc,Eri quasi una Jill Sandwich
Watch your step,Guarda i tuoi passi
PuzzleDesc,Di fronte a sud.\n\nFianco a fianco è al sicuro.\n\nSu e giù è esplosivo!
Researcher's Will,Volontà del ricercatore
ResearcherWillTip_title,Volontà del ricercatore
ResearcherWillTip,"Dentro c'è stata infilata una lettera.\n3 giugno 1998\nMia carissima Alma,\n\nPermettimi innanzitutto di scusarti per non averti potuto chiamare. Un uomo con gli occhiali da sole non ha permesso nessuna telefonata. Scusa Alma.\n\nMi siedo qui cercando di pensare da dove cominciare, a come spiegare in poche semplici parole tutto quello che è successo nella mia vita dall'ultima volta che ci siamo parlati, e già fallisco. Spero che questa lettera ti trovi bene e che perdonerai le tangenti della mia penna; non è facile per me.\n\nAnche mentre scrivo, sento che il più semplice dei concetti scivola via, perso nei sentimenti di disperazione e confusione, ma devo dirti cosa ho nel cuore prima di poter riposare. Alma, per favore, credi che quello che ti sto dicendo è la verità. L'intera storia richiederebbe ore prima che te la racconti, e il tempo è poco, quindi accetta queste cose come un dato di fatto: il mese scorso c'è stato un incidente in laboratorio e il virus che stavamo studiando è trapelato.\n\nTutti i miei colleghi che sono stati infettati sono morti o morenti e la natura della malattia è tale che coloro che sono ancora in vita hanno perso i sensi. Questo virus deruba le sue vittime della loro umanità, costringendole nella loro malattia a cercare e distruggere la vita. Anche mentre scrivo queste parole, le sento premere contro la mia porta come animali senza cervello e affamati.\n\nAlma, ho cercato di sopravvivere solo per vederti di nuovo. Ma i miei sforzi hanno solo ritardato l'inevitabile; Sono infetto e non c'è cura per ciò che seguirà, tranne che per porre fine alla mia vita prima di perdere l'unica cosa che mi separa da loro.\n\nIl mio amore per te.\n\nTra un'ora sarò entrato il mio sonno eterno dove c'è pace. Per favore capisci. Sappi che mi dispiace.\nMartin Crackhorn"
Trevor's Diary,Il diario di Trevor
TrevorDiaryTip_title,Il diario di Trevor
TrevorDiaryTip,"24 novembre 1967\nSono passati undici giorni dall'arrivo in questa tenuta. Come ho fatto a finire così? Un tizio con un camice da laboratorio è venuto con un piatto di pasti succinti e mi ha detto: "Scusa se ti ho fatto passare questo, ma è per motivi di sicurezza". Fu allora che mi colpì. Adesso ha tutto un senso. Ci sono solo due persone che conoscono il segreto di questa villa, Sir Spencer e me. Se mi uccidono, Sir Spencer sarà l'unica persona a conoscere il segreto. Ma per quale scopo? Non importa adesso. È troppo pericoloso qui. La mia famiglia... spero che stiano bene. Ho deciso di scappare... Jessica, Lisa, prego che siate al sicuro.\n\nNov. 26, 1967\nCome potrei essere così negligente? Ho perso il mio accendino preferito, quello che Jessica mi ha regalato per il mio compleanno. Ora sarà molto più difficile uscire da questo luogo oscuro.\nNov. 13, la data in cui il mio destino è stato segnato. Mia zia è stata ricoverata in ospedale solo tre giorni prima. Jessica e Lisa hanno detto che sarebbero andate a trovarla. Vorrei poter essere lì con loro. Ma aspetta, anche mentre scrivo la mia memoria mi torna in mente più vividamente. Poco prima di svenire, ricordo che gli uomini con i camici da laboratorio hanno detto qualcosa del tipo: 'Molto probabilmente la tua famiglia è già...' Prego per la loro sicurezza.\n\nNov. 27, 1967\nIn qualche modo sono riuscito a uscire da quella stanza. Ma uscire da questa villa non sarà così facile. Devo superare tutte le trappole esplosive. Tiger Eyes, Gold Emblem... Devo cercare di ricordare per il mio stesso bene...."
Trevor's Diary2,Il diario di Trevor
TrevorDiaryTip2_title,Il diario di Trevor
TrevorDiaryTip2,"C'è qualcosa di scritto a mano. non è datato.\n\nNon è cambiato nulla. Non avrei mai pensato che questa stanza che ho progettato come esperimento avrebbe dato i suoi frutti in questo modo.\n\nPosso nascondermi qui al sicuro per un po', perché nessuno conosce il segreto dietro questo dipinto. Nemmeno Sir Spencer.\n\nDipinto di un palazzo... sul retro della stanza delle opere d'arte."
Trevor's Diary3,Il diario di Trevor
TrevorDiaryTip3_title,Il diario di Trevor
TrevorDiaryTip3,"29 novembre 1967\nNon posso uscire. Ho cercato in tutti i modi di scappare ma solo per trovarmi di fronte alla realtà in cui sono intrappolato. Sono stato ovunque. Il laboratorio con i grandi tubi di vetro pieni di formaldeide e quelle caverne buie, umide e inquietanti... Cosa posso fare?\nAll'inizio non volevo credere ai miei occhi. Ma quella scarpa col tacco alto familiare nel corridoio... era come riflesso. Mi è venuto in mente un nome, Jessica!\nNon voglio credere che condividano la mia stessa sorte. No! Non posso rinunciare alla speranza. Devo sperare che siano vivi.\n\nNov. 30, 1967\nNon ho mangiato o bevuto nulla negli ultimi giorni. Mi sento come se stessi impazzendo. Perché sta succedendo proprio a me? Perché devo morire così? Ero troppo ossessionato dalla progettazione di questa orribile dimora. Avrei dovuto saperlo meglio.\n\nNov. 31, 1967\nEra un tunnel sotterraneo buio e umido. E un altro vicolo cieco. Ma anche nell'oscurità qualcosa attirò la mia attenzione. Con attenzione, ho acceso l'ultimo fiammifero, dovevo vedere di cosa si trattava. Una tomba! Ma profondamente inciso nella pietra c'era il mio nome! "Giorgio Trevor". In quell'istante tutto mi è diventato chiaro. Quei bastardi sapevano fin dall'inizio che sarei morto qui e sono caduto nella loro trappola. Ma ormai è troppo tardi. lo sto perdendo. Tutto sta diventando così lontano. Jessica... Lisa... Perdonami. A causa del mio ego, vi ho coinvolto entrambi in tutta questa dannata cospirazione. Perdonami. Possa Dio giustificare la mia morte in cambio della tua sicurezza.\n\nGeorge Trevor"
Botany Book,Libro di botanica
BotanyBookTip_title,Libro di botanica
BotanyBookTip,"Usi delle erbe medicinali\n\nÈ risaputo che esistono molte piante alle quali vengono attribuiti poteri curativi medicinali. Sin dai tempi antichi, l'umanità ha curato ferite e malattie usando varie piante.\n\nIn questo libro, assaggeremo tre erbe originarie delle montagne Arklay e delineeremo brevemente ciascuna delle loro qualità medicinali. Ogni erba ha un colore distinto e una distinta qualità medicinale.\n\nL'erba verde recupera forza fisica. L'erba blu neutralizza le tossine naturali. Tuttavia, l'erba rossa non ha alcun effetto reale di per sé. Abbiamo scoperto che la miscelazione di erbe verdi e rosse produce un effetto amplificato.\n\nDelineeremo gli effetti delle erbe rosse quando mescolate con altre erbe quando avremo più dati. Nel frattempo sentiti libero di sperimentare da solo, perché la vera conoscenza si acquisisce meglio attraverso la propria esperienza."
Keeper's Diary,Il diario del custode
KeeperDiaryTip_title,Il diario del custode
